Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
66.55022949999986,1500,,,,-0.0044921875,0.0048828125,-1.00263671875,0.0824892512184614,4.685231681369304,24.987819119282555,2.1377144109885906,478.46456114328,0,53.41682318726462,39.469153334121884,73.88937212055606,0.1187074987954347,0.0877118789804356,0.57685546875,,
70.42983549999988,1400,,,,-0.0154296875,0.003125,-1.01337890625,0.05576594636783051,3.109892648653728,25.014804815141545,1.2658403214129812,401.18138186472,0,31.66474668838898,22.371961778701625,70.65258543873718,0.13903326401506605,0.09821458383481053,0.49130859375,,
74.32652674999981,1300,,,,-0.00703125,-0.00224609375,-1.00029296875,0.034424188919061766,1.8830842839004325,25.035689332338904,0.7147708297024881,316.14894070727996,0,17.894780489949824,10.883427179769155,60.821334526933114,0.17302490123685735,0.10523364493563372,0.23896484375,,
78.17801099999988,1200,,,,-0.00390625,0.00263671875,-1.004296875,0.017813447017455127,0.9285172254806866,25.050793400475698,0.3712539993151188,229.02210444744,0,9.30020744413026,4.0802869970657785,43.87896461467601,0.228578747080295,0.09984322029371837,0.22509765625,,
82.08554174999979,1100,,,,-0.00419921875,0.00234375,-1.00205078125,0.008386877769360866,0.39753475554298384,25.05940025760833,0.21139455611105445,155.29939684296,0,5.2974208165100025,1.3023654237782862,24.586286347694834,0.30524151894520457,0.07504798693367565,0.1546875,,
85.97578949999986,1000,,,,0,0.025390625,-1.03828125,-0.0007031114439924873,0.018983891879454613,25.067804351369922,0.061599716285323326,0,0,1.5441698030807245,0,0,0,0,0.0763671875,,
89.8449589999998,1000,,,,0,0.025,-1.03671875,0.0007409660472046381,0.01163530162661278,25.069782656946767,0.06736334886017745,0,0,1.6887844090757642,0,0,0,0,0.0650390625,,
93.75831874999986,1100,,,,-0.00390625,0.0044921875,-1.00166015625,0.008167253701350541,0.39760096158160474,25.066115968049335,0.21050485296687524,153.83332027128,0,5.2765388400559345,1.2564750198086299,23.818819476829177,0.3165039791874991,0.07536580204470976,0.13310546875,,
97.60903874999984,1200,,,,-0.00634765625,0.00009765625,-1.00322265625,0.018106559167584156,0.9239099774875622,25.060398327004787,0.36792323421085765,228.28906616159998,0,9.220302641423237,4.133268858515199,44.828442088304385,0.22461595045243024,0.10020498112508605,0.228515625,,
101.51375924999994,1300,,,,-0.00478515625,0.0021484375,-1.00361328125,0.03485504259460304,1.8819755570815788,25.04567959041401,0.7183522269326852,315.93950119704,0,17.991619437529252,11.012555736198454,61.211183062173745,0.1708966157981286,0.1046055531713882,0.24990234375,,
105.37567099999993,1400,,,,-0.003125,0.00908203125,-0.995703125,0.05641097313399797,3.133003011853103,25.02156714782406,1.2798276804524054,398.24922872136,0,32.02329333616839,22.466518645464905,70.1572794410509,0.13945495350489825,0.09783640608720037,0.4568359375,,
109.27361424999988,1500,,,,-0.01845703125,0.0080078125,-1.01435546875,0.08228835960771551,4.669672968466506,24.98342191917697,2.14159242537379,478.77872040863997,0,53.50430469665903,39.395662875062,73.63165825746094,0.11853282287674116,0.08727790254312784,0.5103515625,,
113.13168274999991,1500,,,,-0.0142578125,0.01318359375,-1.0015625,0.08249695335164547,4.63600713232114,24.97553978963247,2.1332918468766335,478.5692808984,0,53.28011726524494,39.4807470452175,74.1014617149565,0.11742464308262683,0.08701342490215162,0.504296875,,
117.01365424999986,1400,,,,-0.01552734375,0.0087890625,-0.99365234375,0.05562543232205558,3.0576856007986497,25.00280941373479,1.2689907912397906,400.34362382375997,0,31.72833486818311,22.26676896971333,70.18133313610362,0.13733988468414085,0.09637222246058744,0.44794921875,,
120.87485149999986,1300,,,,-0.00302734375,0.00185546875,-1.0025390625,0.034959472014288534,1.842207294604218,25.024555931110786,0.7117821593989696,316.35838021752,0,17.812032274804274,11.058633027872025,62.08882886555923,0.16658904966145888,0.1034305899035957,0.27236328125,,
124.73194224999989,1200,,,,-0.0068359375,0.0056640625,-1.00390625,0.018570910220908697,0.9131893450062908,25.03924264275558,0.36623827528424674,229.23154395767997,0,9.170327891021863,4.256918034124892,46.42621417149154,0.21506352351369432,0.09959039613108052,0.2205078125,,
128.5986857499999,1100,,,,0.003125,0.0076171875,-1.00419921875,0.008828417551752659,0.40024929343248666,25.0480147141712,0.214642807005679,155.29939684296,0,5.3763758660600365,1.3713679256787672,25.50891622898884,0.29187459495138174,0.07445376255064354,0.1302734375,,
132.4690724999998,1000,,,,0,0.025,-1.02998046875,0.0002724891036870149,0.014624279301912391,25.056522370513775,0.06299195960846159,0,0,1.5783597077889449,0,0,0,0,0.07822265625,,
